,date,url,filing,filers_name,title
232,01/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B3BF8B17B5E7B1038525865C00317E5D/$FILE/Andrew-Saul-12.09.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
233,01/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4BEDAF6C5E0A4A698525865C00317C87/$FILE/Mark-W-Menezes-12.08.2020-278T.pdf,"Menezes, Mark W",Department of Energy,Deputy Secretary
234,01/13/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/626D6068E15C3FFF8525865C00317974/$FILE/Haaland, Debra Anne  final278.pdf","Haaland, Debra A",Department of The Interior,Secretary
235,01/13/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A6681E05181CEFF48525865C00317863/$FILE/Elisabeth(Betsy)-P-DeVos-12.10.2020-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
236,01/10/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/67E814B59083C0428525865900317D9D/$FILE/Vilsack, Thomas J.  AMENDEDfinal278.pdf","Vilsack, Thomas J",Department of Agriculture,Secretary 2
237,01/10/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BABBC4FC26731BB6852586590031768F/$FILE/Austin, Lloyd  final278.pdf","Austin, Lloyd",Department of Defense/Office of The Secretary,Secretary
238,01/10/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/7BA186CACA458047852586590031764A/$FILE/Adeyemo, Adewale  final278.pdf","Adeyemo, Adewale",Department of The Treasury,Deputy Secretary
239,01/08/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4D30757A64469CAB8525865700317D43/$FILE/Tanden, Neera  final278.pdf","Tanden, Neera",Office of Management and Budget,Director
240,01/07/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/466F261F8D7BDFE08525865600317DFA/$FILE/Tai, Katherine  final278.pdf","Tai, Katherine",Office of The Us Trade Representative,U.S. Trade Representative
241,01/07/2021,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/90FB8CCD830F92258525865600317B8D/$FILE/Mayorkas, Alejandro  final278.pdf","Mayorkas, Alejandro N",Department of Homeland Security,Secretary
242,01/05/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/055CB92B0D3597A98525865400317E5F/$FILE/Wilbur-L-Ross-12.23.2020-278T.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
243,01/05/2021,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E4782F4E33E9DA5885258654003178FF/$FILE/Elaine-L-Chao-12.07.2020-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
244,12/31/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C22B882BBDC40AC78525864F008106AB/$FILE/Yellen, Janet L. AMENDEDfinal 278.pdf","Yellen, Janet L",Department of The Treasury,Secretary
245,12/31/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/00CB412D4BCCFDF58525864F00810563/$FILE/Haines, Avril  final 278.pdf","Haines, Avril D",Office of Director of National Intelligence,Director
246,12/31/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DB768AE135A5BA8C8525864F008104D6/$FILE/Blinken, Antony  final 278.pdf","Blinken, Antony J",Department of State,Secretary
247,12/24/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AC69E4214DF1FE9F85258648002D5B5A/$FILE/Derek-T-Kan-2020-278TERM.pdf,"Kan, Derek T",Office of Management and Budget,Deputy Director
248,12/18/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2712DC7C92028C2585258642002D6924/$FILE/Mark-T-Esper-2020-278TERM.pdf,"Esper, Mark T",Department of Defense/Office of The Secretary,Secretary
249,12/18/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BED74A85FD9A86AA85258642002D67F0/$FILE/Barbara-M-Barrett-03.05.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
250,12/15/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/ADDCECE44626E6C58525863F002D66F9/$FILE/Babara-M-Barrett-12.02.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
251,12/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0359E799BD4A71EB8525863B002D619E/$FILE/Mitchell-M-Zais-10.21.2020-278T.pdf,"Zais, Mitchell M",Department of Education,Deputy Secretary
252,12/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5C69865E4A56ADD88525863B002D606D/$FILE/Andrew-Saul-11.06.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
253,12/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0636F82C82A2BACC8525863B002D5AA8/$FILE/Elisabeth-(Betsy)-P-DeVos-11.11.2020-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
254,12/04/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E85E1702AC4B6AA485258634002D5998/$FILE/Barbara-M-Barrett-11.06.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
255,11/19/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/20CBD762FCA3D61085258625002D69C9/$FILE/Andrew-Saul-10.09.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
256,11/19/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5048EC914E29679385258625002D6989/$FILE/Wilbur-L-Ross-2020-278.pdf,"Ross, Wilbur L",Department of Commerce,Secretary
257,11/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0DEE584F2FBDA78E85258618002D605D/$FILE/Elisabeth-P-DeVos-10.02.2020-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
258,11/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CD55C4806FDD639285258618002D6017/$FILE/Stephen-L-Censky-2020-278TERM.pdf,"Censky, Stephen L.",Department of Agriculture,Deputy Secretary
259,11/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/6FBF27DFE659D38085258618002D5F5A/$FILE/Barbara-M-Barrett-02.11.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
260,10/29/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/87CA9D884010C81385258610002C127D/$FILE/OGE STATEMENT EA Panchanathan supp doc.pdf,"Panchanathan, Sethuraman",National Science Foundation,Director
261,10/29/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A266C7FAB542AFCD85258610002C1268/$FILE/EA Certification Panchanathan 1 of 1.pdf,"Panchanathan, Sethuraman",National Science Foundation,Director
262,10/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/285BECF419CFFE3A8525860F0027DDF9/$FILE/Mark-W-Menezes-10.02.2020-278T.pdf,"Menezes, Mark W",Department of Energy,Deputy Secretary
263,10/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4A6C61F6089227F68525860F0027DDF7/$FILE/Mark-W-Menezes-09.18.2020-278T.pdf,"Menezes, Mark W",Department of Energy,Deputy Secretary
264,10/27/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/61D29B0A63B0ED1C8525860E0027D859/$FILE/Barbara-M-Barrett-10.05.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
265,10/23/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/67BDC48DFD8882EF8525860A002C1B19/$FILE/Russ Vought EA Certification 1 of 1.pdf,"Vought, Russell",Office of Management and Budget,Director
266,10/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DA923A207578947E852586040027E676/$FILE/Andrew-Saul-09.11.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
267,10/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A86912776DFE30B5852586040027DFD8/$FILE/Elaine-L-Chao-09.11.2020-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
268,10/10/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/55011BDFB915DDB2852585FD0027E8BC/$FILE/Barbara-M-Barrett-09.02.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
269,10/10/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/15FBA8DF3B20C726852585FD0027E8B9/$FILE/Barbara-M-Barrett-07.01.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
270,10/10/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3D0B2362B045514A852585FD0027E8B7/$FILE/Barbara-M-Barrett-08.04.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
271,10/08/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/437520C479D5C637852585FB0027E820/$FILE/Barbara-M-Barrett-2020-278.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
272,10/07/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1806CA95EFBBA732852585FA0027EB9C/$FILE/Eric-D-Hargan-2020-278T.pdf,"Hargan, Eric D.",Department of Health and Human Services,Deputy Secretary
273,09/29/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/35E71473FE5E4EF6852585F20027E92F/$FILE/Elisabeth (Betsy)-P-DeVos-09.08.2020-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
274,09/27/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/8E85CB26B1B9C3B9852585F00027E252/$FILE/Rigas, Michael  final278.pdf","Rigas, Michael J",Office of Management and Budget,Deputy Director for Management
275,09/20/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/764B102FF086F7B0852585E90027E33C/$FILE/Wolf, Chad F.  final278.pdf","Wolf, Chad F",Department of Homeland Security,Secretary
276,09/16/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/70D8F91CBFAD2309852585E50027E69C/$FILE/Elaine-L-Chao-2020-278.pdf,"Chao, Elaine L",Department of Transportation,Secretary
277,09/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/52760EF307A29E15852585E1002C1D4D/$FILE/Miller EA Certification 1 of 1.pdf,"Miller, Christopher",Office of Director of National Intelligence,"Director, National Counterterrorism Center"
278,09/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/294765D0509B1112852585E10027E9D3/$FILE/Katharine-MacGregor-08.13.2020-278T.pdf,"MacGregor, Katharine",Department of The Interior,Deputy Secretary
279,09/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/39156B514FC57265852585E00027EA4E/$FILE/Mark-W-Menezes-08.12.2020-278T.pdf,"Menezes, Mark W",Department of Energy,Deputy Secretary
280,09/04/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B8FD9C424488DFAF852585D90027EADB/$FILE/Steven-T-Mnuchin-2020-278.pdf,"Mnuchin, Steven T",Department of The Treasury,Secretary
281,09/03/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DF40EDE868E34C26852585D80027ECD8/$FILE/Mitchell-M-Zais-2020-278.pdf,"Zais, Mitchell M",Department of Education,Deputy Secretary
282,09/03/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2462F27B4DDB8FFB852585D80027E6B6/$FILE/Stephen-L-Censky-2020-278.pdf,"Censky, Stephen L.",Department of Agriculture,Deputy Secretary
283,09/02/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4A27A97FF70BCFB7852585D70027E680/$FILE/James-W-Carroll-2020-278.pdf,"Carroll, James W.",Office of National Drug Control Policy,Director
284,08/27/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BB5C7252F2A8AFCF852585D10027F1D3/$FILE/Mitchell-M-Zais-07.27.2020-278T.pdf,"Zais, Mitchell M",Department of Education,Deputy Secretary
285,08/20/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EC1E2E1A3BF254E0852585CA0027E7B5/$FILE/Justin-Muzinich-2020-278.pdf,"Muzinich, Justin",Department of The Treasury,Deputy Secretary
286,08/19/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2B8FD6F1661D4411852585C9002C1B11/$FILE/Menezes EA Certification 1 of 1.pdf,"Menezes, Mark W",Department of Energy,Deputy Secretary
287,08/19/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1E8F26C0A1C52FDF852585C90027E7A2/$FILE/Andrew-Saul-08.07.0202-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
288,08/13/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BC28124A97400869852585C30027E27E/$FILE/William-P-Barr-2020-278.pdf,"Barr, William P",Department of Justice,Attorney General
289,08/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2F92548F4270DE74852585C2002C1891/$FILE/Derek Kan EA Certification 1 of 1.pdf,"Kan, Derek T",Office of Management and Budget,Deputy Director
290,08/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2D4B88F35B8B7EFD852585C20027E6FB/$FILE/George-E-Perdue-2020-278.pdf,"Perdue, George E",Department of Agriculture,Secretary
291,08/08/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AC31A85880E6E73C852585BE0027E3B3/$FILE/John-J-Sullivan-2020-278.pdf,"Sullivan, John J",Department of State,Deputy Secretary
292,08/08/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/98689A44DAD9CE88852585BE0027DE61/$FILE/Elisabeth-P-DeVos-07.14.2020-278T.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
293,08/04/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0132EF0BC22E128F852585BA0027DF8F/$FILE/Gibbs, John  final278.pdf","Gibbs, John",Office of Personnel Management,Director
294,08/01/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/122523ADC63C7BC1852585B70027DF68/$FILE/Andrew-Saul-07.10.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
295,07/29/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/49D9D8562A581822852585B40027D7BC/$FILE/Lael-Brainard-2020.278.pdf,"Brainard, Lael",Federal Reserve System Board of Governors,Governor
296,07/29/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1974465E1F2AD7A6852585B40027D735/$FILE/Alex-M-Azar-2020-278.pdf,"Azar, Alex M",Department of Health and Human Services,Secretary
297,07/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A4DBE0755276A915852585B30027DE7D/$FILE/Andrew-Saul-06.09.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
298,07/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/D3AD148822D68054852585B30027DBDA/$FILE/Katharine-MacGregor-07.01.2020-278T.pdf,"MacGregor, Katharine",Department of The Interior,Deputy Secretary
299,07/25/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C9BB8407A6940B8A852585B00027DE20/$FILE/Andrew-Saul-2020-278.pdf,"Saul, Andrew",Social Security Administration,Commissioner
300,07/25/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A1D97DDD94306BBE852585B00027DDE9/$FILE/Jeffrey-A-Rosen-2020-278.pdf,"Rosen, Jeffrey A",Department of Transportation,Deputy Secretary of Transportation
301,07/25/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5E7D9B290AD9AA7B852585B00027DBF4/$FILE/Ellen-McCausland-Lord-2020-278.pdf,"Lord, Ellen McCausland",Department of Defense/Office of The Secretary,"Under Secretary for Acquisition, Technology, Logistics"
302,07/25/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/26E6EA2096C04B3F852585B00027D753/$FILE/David-F-Black-2020-278.pdf,"Black, David F",Social Security Administration,Deputy Commissioner
303,07/24/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/90C20BA07F37AD64852585AF0027D816/$FILE/Elaine-L-Chao-06.23.2020-278T.pdf,"Chao, Elaine L",Department of Transportation,Secretary
304,07/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/C96E54C6FCA20156852585A80027D881/$FILE/Barbara-M-Barrett-06.03.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
305,07/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9C4E6D9AD513BF56852585A80027D87F/$FILE/Barbara-M-Barrett-05.04.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
306,07/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/EED3BF9CE7901036852585A80027D87D/$FILE/Barbara-M-Barrett-04.07.2020-278T.pdf,"Barrett, Barbara M",Department of The Air Force,Secretary
307,07/15/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/00183765292FF91F852585A60027EFF7/$FILE/Andrew-Wheeler-2020-278.pdf,"Wheeler, Andrew",Environmental Protection Agency,Administrator
308,07/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A32049738A973820852585A20027EF13/$FILE/Ryan-D-McCarthy-2020-278.pdf,"McCarthy, Ryan D",Department of The Army,Secretary
309,07/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B793AA29776B90B4852585A20027E9C4/$FILE/Mark-Calabria-2020-278.pdf,"Calabria, Mark",Federal Housing Finance Agency,Director
310,07/07/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/952AF77768825F0A8525859E002C1DB1/$FILE/Braithwaite EA Certification 1 of 1.pdf,"Braithwaite, Kenneth J",Department of The Navy,Secretary
311,07/07/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/377DD7580E9CF33E8525859E0027F80E/$FILE/Eugene-Scalia-2020-278.pdf,"Scalia, Eugene",Department of Labor,Secretary
312,07/05/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/F97559207DAFD6698525859C0027ED56/$FILE/Andrew-Saul-05.07.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
313,07/05/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/62F3CB0834153FF68525859C0027ECE9/$FILE/Randal-K-Quarles-05.04.2020-278T.pdf,"Quarles, Randal K",Federal Reserve System Board of Governors,Governor & Vice Chairman for Supervision
314,06/26/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/10AF1F4C4D3EC6AC85258593002C2316/$FILE/Ratcliffe EA Certification 1 of 1.pdf,"Ratcliffe, John L",Office of Director of National Intelligence,Director
315,06/25/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/1BDF691D70BA8C15852585920027EE9B/$FILE/Katharine-MacGregor-2020-278.pdf,"MacGregor, Katharine",Department of The Interior,Deputy Secretary
316,06/24/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/312C5953BAD56C81852585910027EA9E/$FILE/Kelvin-K-Droegemeier-2020-278.pdf,"Droegemeier, Kelvin K",Office of Science and Technology Policy,Director
317,06/24/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/75C05390E8E3D967852585910027EA69/$FILE/Elisabeth-P-DeVos-2020-278.pdf,"DeVos, Elisabeth (Betsy) P",Department of Education,Secretary
318,06/23/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/0DFF1D914CB45716852585900027F1FA/$FILE/Andrew-Saul-04.29.2020-278T.pdf,"Saul, Andrew",Social Security Administration,Commissioner
319,06/17/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/800A7CB3C825B0128525858A002C0F27/$FILE/Montgomery EA Certification 1 of 1.pdf,"Montgomery, Brian D",Department of Housing and Urban Development,Deputy Secretary
320,06/16/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/9F55EBEE64DDAB1A852585890027DDFC/$FILE/Russell-Vought-2020-278.pdf,"Vought, Russell",Office of Management and Budget,Deputy Director
321,06/16/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2DB25890E757E053852585890027DC8B/$FILE/Michael-R-Pompeo-2020-278.pdf,"Pompeo, Michael R",Department of State,Secretary
322,06/13/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B3FA00A8A401A6B5852585860027DB03/$FILE/Nicole-R-Nason-2020-278.pdf,"Nason, Nicole R",Department of Transportation,"Administrator, Federal Highway Administration"
323,06/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/375AF3B22566FB86852585850027DBDE/$FILE/Patrick-Pizzella-2020-278.pdf,"Pizzella, Patrick",Department of Labor,Deputy Secretary
324,06/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B917948A21487F6A852585850027DB79/$FILE/John-M-Mulvaney-2020-278.pdf,"Mulvaney, John Michael ""Mick""",Office of Management and Budget,Director
325,06/12/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2F9E009FED1B7567852585850027DB77/$FILE/John-M-Mulvaney-2020-278TERM.pdf,"Mulvaney, John Michael ""Mick""",Office of Management and Budget,Director
326,06/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B1B753542BDDB222852585840027DBCE/$FILE/Katharine-MacGregor-04.21.2020-278T.pdf,"MacGregor, Katharine",Department of The Interior,Deputy Secretary
327,06/11/2020,"https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A9E4451C8F994608852585840027D969/$FILE/Kan, Derek  final278.pdf","Kan, Derek T",Office of Management and Budget,Deputy Director
328,06/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/4DFCDCC08D5DE804852585840027D7B4/$FILE/Benjamin-S-Carson-2020-278.pdf,"Carson, Benjamin S",Department of Housing and Urban Development,Secretary
329,06/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/DB6F4423884C0541852585840027D7AC/$FILE/Virginia-Cabaniss-2020-278TERM.pdf,"Cabaniss, Virginia",Office of Personnel Management,Director
330,06/11/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2FEF55782DEBC0FC852585840027D721/$FILE/Michelle-W-Bowman-05.09.2020-278T.pdf,"Bowman, Michelle White",Federal Reserve System Board of Governors,Governor 2
331,06/10/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2790E9F0F076FF1D85258583002C0E94/$FILE/MacGregor EA Certification 1 of 1.pdf,"MacGregor, Katharine",Department of The Interior,Deputy Secretary
332,06/10/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/769F5CF41321D34B852585830027D794/$FILE/Stephen-Dickson-2020-278.pdf,"Dickson, Stephen",Department of Transportation,"Administrator, Federal Aviation Administration"
333,06/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/48EAED141A52D2EE8525857F0027DBF6/$FILE/Randal-K-Quarles-2020-278.pdf,"Quarles, Randal K",Federal Reserve System Board of Governors,Governor & Vice Chairman for Supervision
334,06/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5B86DBF3EBE069DB8525857F0027DBD0/$FILE/Jerome-H-Powell-2020-278.pdf,"Powell, Jerome H",Federal Reserve System Board of Governors,Governor 3
335,06/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A6E881AF0569B9958525857F0027DABE/$FILE/David-L-Norquist-2020-278.pdf,"Norquist, David L",Department of Defense/Office of The Secretary,Deputy Secretary
336,06/06/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/3F8EEBB2CE9E652E8525857F0027D715/$FILE/Sean-S-Cairncross-2020-278.pdf,"Cairncross, Sean S",Millennium Challenge Corporation,Chief Executive Officer
337,06/04/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/B661159C43443E938525857D0027DA0B/$FILE/Danny-R-Brouillette-2020-278.pdf,"Brouillette, Danny R",Department of Energy,Secretary
338,05/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2A95E5DB09264879852585760027DC9A/$FILE/Mark-A-Green-2020-278TERM.pdf,"Green, Mark A",Agency for International Development (AID),Administrator
339,05/28/2020,https://extapps2.oge.govhttps://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/A432C7515EB64040852585760027DA77/$FILE/James-F-Bridenstine-2020-278.pdf,"Bridenstine, James F",National Aeronautics and Space Administration,Administrator
